score,status,name,type,url,why_it_passes,next_step
98,blocked,Google Business Profile,local profile,https://www.google.com/business/,"Top local/maps citation; real users; owner controlled; strong NAP entity signal","Requires Google owner login and verification"
97,blocked,Apple Business Connect,local profile,https://businessconnect.apple.com/,"Apple Maps entity profile; high trust; real local discovery","Requires Apple ID and verification"
96,blocked,Bing Places,local profile,https://www.bingplaces.com/,"Bing Maps/local citation; can import GBP; high trust","Requires Microsoft login or GBP import"
95,submitted,Yelp for Business,local profile,https://biz.yelp.com/,"High-trust local profile; claimed by SMS; public Yelp URL exists","Await Yelp moderation and email verification"
94,watch,Facebook Business Page,social/local profile,https://www.facebook.com/pages/create/,"Major social/entity profile with business page URL and NAP support","Requires Facebook login"
94,watch,LinkedIn Company Page,company profile,https://www.linkedin.com/company/setup/new/,"Major company/entity profile; strong brand legitimacy","Requires LinkedIn login"
93,blocked,Foursquare for Business,local profile,https://business.foursquare.com/,"Important maps/data provider; real local discovery","No existing match; create-listing flow requires Foursquare login/signup and CAPTCHA"
92,blocked,Clutch,agency directory,https://clutch.co/get-listed,"Top B2B agency directory; relevant to web design/development","Needs newest email verification code"
91,blocked,GoodFirms,agency directory,https://www.goodfirms.co/get-listed,"Relevant B2B service-provider directory with web/dev categories","Needs domain email"
91,blocked,DesignRush,agency directory,https://www.designrush.com/submit/agency,"Relevant agency directory; web design/development categories","Needs domain email"
90,watch,Yellow Pages,local directory,https://www.yellowpages.com/,"Established local directory; NAP citation value","Search then claim/add"
89,blocked,Manta,local directory,https://www.manta.com/business-listings/add-your-company,"Established business directory; free add-company flow exists","Service-area UI blocked"
89,blocked,ChamberOfCommerce.com,local directory,https://www.chamberofcommerce.com/members/add-business,"Established business directory; free listing flow exists","CAPTCHA and ZIP lookup issue"
88,blocked,Hotfrog,local directory,https://www.hotfrog.com/add,"Established local directory; free registration submitted","Needs email confirmation link"
88,watch,Better Business Bureau,business profile,https://www.bbb.org/get-listed,"High-trust business identity profile; not always free/accredited","Check free profile/listing options"
