priority,status,name,type,url,notes
1,next,Google Business Profile,local profile,https://www.google.com/business/,"Highest priority. Requires Google login and owner verification."
1,next,Bing Places,local profile,https://www.bingplaces.com/,"Can import from Google Business Profile once GBP exists."
1,next,Apple Business Connect,local profile,https://businessconnect.apple.com/,"Apple Maps/business card visibility. Requires Apple ID verification."
1,in_review,Yelp for Business,local profile,https://biz.yelp.com/,"Already claimed and SMS verified; awaiting Yelp moderation and email verification."
1,next,Facebook Business Page,social/business profile,https://www.facebook.com/pages/create/,"Useful local/social citation. Requires Facebook login."
1,next,LinkedIn Company Page,social/business profile,https://www.linkedin.com/company/setup/new/,"Good brand/entity profile. Requires LinkedIn login."
1,next,Foursquare for Business,local profile,https://business.foursquare.com/claim/,"Important data/citation source for maps and apps."
1,blocked,Clutch,agency directory,https://clutch.co/get-listed,"Account creation started but needs newest email verification code."
1,blocked,GoodFirms,agency directory,https://www.goodfirms.co/get-listed,"Rejected Gmail; needs domain email."
1,blocked,DesignRush,agency directory,https://www.designrush.com/submit/agency,"Rejected Gmail; needs domain email."
2,next,Yellow Pages,local directory,https://www.yellowpages.com/,"Search first, then claim/add listing if available."
2,next,Superpages,local directory,https://www.superpages.com/,"Usually powered by similar local-data ecosystem as DexKnows."
2,next,DexKnows,local directory,https://www.dexknows.com/,"Search first to avoid duplicates."
2,next,MapQuest Business,local/maps listing,https://business.mapquest.com/,"Check current add/claim flow; may route through a partner."
2,blocked,Manta,local directory,https://www.manta.com/business-listings/add-your-company,"Prefilled but blocked by service-area UI."
2,blocked,ChamberOfCommerce.com,local directory,https://www.chamberofcommerce.com/members/add-business,"Prefilled but blocked by CAPTCHA and ZIP lookup."
2,blocked,Hotfrog,local directory,https://www.hotfrog.com/add,"Registration submitted; needs confirmation email link."
2,needs_approval,MerchantCircle,local directory,https://www.merchantcircle.com/signup,"Prefilled; submit requires approval for promotional call/text consent."
2,next,Brownbook,local directory,https://www.brownbook.net/business/add/,"Usually supports free business listings."
2,next,Cylex US,local directory,https://www.cylex.us.com/,"Search first, then add or claim listing."
2,next,ShowMeLocal,local directory,https://www.showmelocal.com/,"Free local business profile with upsells."
2,next,EZlocal,local directory,https://ezlocal.com/free-business-listing/,"Has a documented free business listing flow."
2,next,LocalStack,local directory,https://www.localstack.com/,"Search/add local listing if available."
2,next,MyHuckleberry,local directory,https://www.myhuckleberry.com/,"Older local directory; use consistent NAP."
3,next,Tupalo,local directory,https://www.tupalo.com/,"Search first, then add place/profile."
3,next,Lacartes,local directory,https://www.lacartes.com/business/add,"Free business listing path; watch for CAPTCHA/email verification."
3,next,Fyple,local directory,https://www.fyple.com/,"Search first, then add/claim."
3,next,FindUsHere,local directory,https://www.find-us-here.com/,"Free business directory; use exact NAP."
3,next,Hub.biz,local directory,https://hub.biz/,"Search first, claim/add if supported."
3,next,CallUpContact,local directory,https://www.callupcontact.com/,"Add business profile; likely email verification."
3,next,eLocal,local directory,https://www.elocal.com/,"May be lead-gen heavy; avoid paid lead commitments."
3,next,CitySquares,local directory,https://citysquares.com/,"Search first, claim/add listing."
3,next,n49,local directory,https://www.n49.com/,"North America directory; check free profile path."
3,next,2FindLocal,local directory,https://www.2findlocal.com/,"Older local directory; likely CAPTCHA/email verification."
3,next,Opendi,local directory,https://www.opendi.us/,"Search first, add if missing."
3,next,USCity.net,local directory,https://uscity.net/,"Older citation source; verify current signup works."
3,next,Yellow.Place,local directory,https://yellow.place/,"Can create place/business listing; watch for quality."
3,next,Cybo,local directory,https://www.cybo.com/,"Global business directory; search then add/claim."
3,next,Kompass,company directory,https://us.kompass.com/,"Company profile directory; may have free/basic listing."
3,next,Dun & Bradstreet,D-U-N-S/company profile,https://www.dnb.com/duns/get-a-duns.html,"Free D-U-N-S request can strengthen business identity, not a normal backlink."
4,next,Better Business Bureau,business profile,https://www.bbb.org/get-listed,"Accreditation is paid, but a business profile/listing may be possible."
4,blocked,Alignable,local network,https://www.alignable.com/,"Signup started; blocked at reCAPTCHA."
4,next,Nextdoor Business,local/social profile,https://business.nextdoor.com/local,"Local profile; requires owner login/verification."
4,next,Angi Pro,service marketplace,https://www.angi.com/companylist/signup.htm,"Profile may be free; leads/ads can cost money."
4,next,Thumbtack,service marketplace,https://www.thumbtack.com/pro,"Profile is free; leads are usually paid."
4,next,Bark,service marketplace,https://www.bark.com/en/us/sellers/,"Profile can be free; responding to leads can cost credits."
4,next,Crunchbase,company profile,https://www.crunchbase.com/add-new,"Good entity profile if The Web Guy is presented as a company/project."
4,next,Product Hunt,launch/community profile,https://www.producthunt.com/,"Use only if presenting The Web Guy as a launchable product/service."
4,next,Indie Hackers,founder/community profile,https://www.indiehackers.com/,"Use a genuine founder/project profile, not a drive-by link."
4,next,Hacker News,community profile,https://news.ycombinator.com/,"Create account; use only for useful participation or a thoughtful Show HN."
4,next,Web Design Awards Agency Directory,web design agency directory,https://www.webdesignawards.io/list-my-agency,"Source says free agency directory listing with logo, website, bio, and location."
